URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/structural-engineer-junior/6556366219.html,Structural Engineer - junior/entry level,Midtown
https://newyork.craigslist.org/mnh/egr/d/structural-engineer-field/6556296197.html,Structural Engineer / Field Inspector,New York City
https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6556224649.html,Architectural Metal Cost Estimator,East Williamsburg
https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6556183631.html,Electrical Engineer,Midtown
https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6556175961.html,Plumbing/Fire Protection Engineer,New York City
https://newyork.craigslist.org/mnh/egr/d/class-1-filing-representative/6556120507.html,CLASS 1 FILING REPRESENTATIVE - N.Y.C. D.O.B.,Midtown
https://newyork.craigslist.org/brk/egr/d/project-architect/6556118440.html,Project Architect,Williamsburg
https://newyork.craigslist.org/mnh/egr/d/project-accountant-for/6556063611.html,Project Accountant for Manufacturing and Design Company,Midtown East
https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6556053019.html,Junior Architectural Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/senior-interior-designer/6556027628.html,Senior Interior Designer,
https://newyork.craigslist.org/brk/egr/d/class-2-filing-rep-for-nyc/6556000153.html,Class 2 Filing rep. For NYC dept. Of buildings,Brooklyn
https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6555949018.html,Mechanical Engineer Wanted,
https://newyork.craigslist.org/que/egr/d/full-time-sheetmetal-drafting/6555946217.html,Full Time Sheetmetal Drafting Position Available,"Glendale, NY"
https://newyork.craigslist.org/mnh/egr/d/dob-expeditor/6555734178.html,DOB Expeditor,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-structural-design/6555304753.html,CAD drafter-Structural design,Midtown
https://newyork.craigslist.org/brk/egr/d/junior-designer-architect/6555287577.html,Junior Designer/Architect,brooklyn
https://newyork.craigslist.org/que/egr/d/auto-cad-design-cad-custom/6554290988.html,AUTO CAD/DESIGN CAD - CUSTOM WINDOW MANUFACTURER,long island city
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6553896461.html,Facade / Building Envelope Engineer or Architect,TriBeCa
https://newyork.craigslist.org/wch/egr/d/civil-engineer-site-work/6553895021.html,Civil Engineer Site Work/Heavy Construction,
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6553894998.html,Exterior Restoration / Recent Graduate,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6553893570.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/wch/egr/d/architect/6553888208.html,Architect,Dobbs Ferry
https://newyork.craigslist.org/lgi/egr/d/taiwanese-architect-in/6553805867.html,Taiwanese Architect in Training Position,Garden City
https://newyork.craigslist.org/mnh/egr/d/mechanical-draftsperson/6553781217.html,MECHANICAL DRAFTSPERSON,
https://newyork.craigslist.org/brk/egr/d/executive-assistant-to/6553763982.html,Executive Assistant to Engineering Owner,East Williamsburg
https://newyork.craigslist.org/mnh/egr/d/senior-mechanical-engineer/6553747209.html,SENIOR MECHANICAL ENGINEER,
https://newyork.craigslist.org/lgi/egr/d/architectural-senior/6553722853.html,Architectural Senior Healthcare Designer,"Huntington, Station"
https://newyork.craigslist.org/brk/egr/d/engineer-in-training-position/6553721045.html,Engineer In Training Position,East Williamsburg
https://newyork.craigslist.org/mnh/egr/d/project-manager-facade-roofing/6553638955.html,PROJECT MANAGER - FACADE/ROOFING,
https://newyork.craigslist.org/mnh/egr/d/mechanical-energy-engineer/6553634210.html,Mechanical/Energy Engineer - Audits and Retro-commissioning,
https://newyork.craigslist.org/mnh/egr/d/junior-architect-engineer/6553628688.html,JUNIOR ARCHITECT/ENGINEER,
https://newyork.craigslist.org/mnh/egr/d/draftsperson/6553623465.html,DRAFTSPERSON,
https://newyork.craigslist.org/mnh/egr/d/junior-architect-revit/6553542114.html,Junior Architect-Revit,Downtown
https://newyork.craigslist.org/brk/egr/d/auto-cad-rebar-detailer/6553538386.html,AUTO CAD Rebar Detailer,Hillside
https://newyork.craigslist.org/mnh/egr/d/architect/6553479279.html,Architect,Harlem / Morningside
https://newyork.craigslist.org/mnh/egr/d/dob-o-work-class-1-or-2/6553328782.html,DOB C/O WORK CLASS 1 or 2,Downtown
https://newyork.craigslist.org/fct/egr/d/part-time-junior-cad-drafts/6553070385.html,PART TIME JUNIOR CAD DRAFTS PERSON,FAIRFIELD
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6552973626.html,Construction Project Manager,
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager/6552971257.html,Assistant Project Manager,
https://newyork.craigslist.org/mnh/egr/d/ict-designer/6552916230.html,ICT Designer,Midtown West
https://newyork.craigslist.org/brk/egr/d/cad-drafter/6552907179.html,CAD DRAFTER,BROOKLYN
https://newyork.craigslist.org/brx/egr/d/use-lego-to-teach-kids/6552790210.html,Use LEGO® to teach kids engineering concepts!,
https://newyork.craigslist.org/mnh/egr/d/construction-administration/6552708457.html,Construction Administration-SHOP DRAWING/RFI COORDINATOR,Midtown West
https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-with/6552699182.html,Electrical Engineers with REVIT,Midtown West
https://newyork.craigslist.org/que/egr/d/freelance-or-part-time/6552617464.html,Freelance or Part-time AutoCAD Drafting,any borough
https://newyork.craigslist.org/mnh/egr/d/architect-one-of-kind-career/6552600422.html,Architect 's One of a Kind Career Opportunity,Midtown
https://newyork.craigslist.org/mnh/egr/d/project-architect/6552431148.html,Project Architect,Midtown West
https://newyork.craigslist.org/brk/egr/d/part-time-full-time/6552423010.html,Part time + Full Time Architectural job Experienced or Student OK.....,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6552364172.html,Construction Project Manager,NYC
https://newyork.craigslist.org/mnh/egr/d/field-engineer-controls/6552346366.html,Field Engineer - Controls Systems,
https://newyork.craigslist.org/mnh/egr/d/retail-design-client-side/6552098087.html,Retail Design - Client Side Opportunity,SoHo
https://newyork.craigslist.org/que/egr/d/project-manager-millwork/6551635200.html,Project Manager- Millwork Draftsman,Glendale Queens
